profile1,profile2,profile3,profile4,profile5,profile6,profile7,profile8,profile9,profile10,profile11,profile12,profile13,profile14,profile15,profile16,profile17,profile18,profile19,profile20,profile21,profile22,profile23,profile24,profile25
-2350,-2300,-3700,-5900,-3300,-2100,-4100,-2850,-2900,-3850,-4200,-3850,-5500,-5500,-6050,-3950,-8500,-5150,-4350,-4350,-4550,-5350,-5100,-4550,-5250
-2300,-2350,-4950,-5800,-3300,-2100,-3200,-2950,-3050,-3950,-4250,-3850,-5550,-5500,-6050,-5550,-8500,-5200,-4350,-4350,-4600,-4700,-5100,-4550,-5250
-2300,-2350,-4950,-5800,-3350,-2000,-3200,-2950,-3050,-3950,-4250,-3850,-5550,-5750,-6050,-5550,-5450,-5200,-4350,-4400,-4600,-4700,-4950,-4500,-3200
-5850,-2400,-4900,-5850,-3350,-2000,-3150,-3050,-3000,-4000,-4250,-3900,-5600,-5750,-6100,-8850,-5450,-5200,-4400,-4400,-4600,-4750,-4950,-4500,-3200
-5850,-2400,-4900,-5850,-3550,-2050,-3150,-3050,-3000,-4000,-4300,-3900,-5600,-5950,-6100,-8850,-5500,-5200,-4400,-4400,-4350,-4750,-5000,-4500,-3150
-5800,-2450,-4850,-6000,-3550,-2050,-5200,-5100,-2950,-3800,-4300,-3900,-6100,-5950,-6000,-8650,-5500,-5250,-4400,-4400,-4350,-4800,-5000,-4500,-3150
-5800,-2450,-4850,-6000,-3500,-6950,-5200,-5100,-2950,-3800,-4300,-3900,-6100,-5850,-6000,-8650,-5400,-5250,-4400,-4400,-4350,-4800,-5050,-4450,-4850
-5650,-2500,-4800,-6600,-3500,-6950,-5700,-5050,-3400,-2300,-4350,-3900,-6050,-5850,-5900,-8650,-5400,-5300,-4400,-4450,-4400,-4850,-5050,-4450,-4850
-5650,-2500,-4800,-6600,-3450,-6450,-5700,-5050,-3400,-2300,-4350,-3900,-6050,-5900,-5900,-8650,-5350,-5300,-4450,-4450,-4400,-4850,-5400,-4300,-3550
-5650,-1850,-4150,-6600,-3450,-6450,-5050,-2650,-3350,-2350,-4350,-4150,-6000,-5900,-5800,-8650,-5350,-5350,-4450,-4450,-4400,-4900,-5400,-4300,-3550
-5600,-1850,-4150,-6600,-3150,-6400,-5050,-2650,-3350,-2350,-3650,-4150,-6000,-6100,-5800,-8650,-5300,-5350,-4450,-4450,-4450,-4900,-5450,-4350,-3500
-5600,-1850,-4100,-6550,-3150,-6400,-4600,-2700,-3300,-2400,-3650,-4050,-6000,-6100,-5850,-8600,-5300,-5350,-4500,-4450,-4450,-4950,-5450,-4350,-3500
-5600,-1850,-4100,-6550,-3200,-6350,-4600,-2700,-3300,-2400,-3700,-4050,-6050,-6050,-5850,-8600,-3850,-5350,-4500,-4500,-4450,-4950,-5050,-4850,-3450
-5550,-1900,-4050,-6650,-3200,-6350,-4550,-2750,-3250,-2600,-3700,-4000,-6050,-6050,-5950,-8600,-3850,-4700,-4500,-4500,-4500,-5000,-5050,-4850,-3450
-5550,-1900,-4050,-6650,-3800,-6000,-4550,-2750,-3250,-2600,-3750,-4000,-7150,-4550,-5950,-8600,-5600,-4700,-4300,-4500,-4500,-5000,-5100,-4800,-3400
-5550,-1900,-4350,-6850,-3800,-6000,-4500,-2800,-3200,-2150,-3750,-3750,-7150,-4550,-5700,-8550,-5600,-4700,-4300,-4300,-4500,-4650,-5100,-4800,-3400
